uid,type,E,A,C,N,O
u00,pre,3.75,2.888888888888889,3.0,3.125,4.5
u01,pre,3.125,3.7777777777777777,4.444444444444445,2.75,3.9
u02,pre,2.125,3.0,4.222222222222222,3.5,3.2
u03,pre,2.125,3.2222222222222223,3.888888888888889,3.375,2.7
u04,pre,2.375,3.111111111111111,2.6666666666666665,4.125,2.9
u05,pre,3.125,3.7777777777777777,4.444444444444445,2.75,3.3
u07,pre,3.125,4.222222222222222,3.7777777777777777,2.25,2.3
u08,pre,2.625,3.7777777777777777,4.222222222222222,3.25,3.3
u09,pre,2.375,4.555555555555555,2.6666666666666665,2.125,3.3
u10,pre,2.0,1.3333333333333333,4.777777777777778,3.375,3.6
u12,pre,2.875,3.5555555555555554,3.6666666666666665,2.875,3.4
u13,pre,3.375,3.5555555555555554,2.4444444444444446,3.375,4.3
u14,pre,3.25,3.6666666666666665,3.3333333333333335,2.5,3.3
u15,pre,3.25,3.5555555555555554,3.111111111111111,2.75,3.0
u16,pre,1.75,3.3333333333333335,3.5555555555555554,4.25,3.8
u17,pre,2.625,3.888888888888889,3.3333333333333335,3.125,4.5
u18,pre,2.625,2.2222222222222223,3.2222222222222223,3.75,2.5
u19,pre,1.75,3.111111111111111,3.4444444444444446,3.625,3.2
u20,pre,3.875,4.333333333333333,3.3333333333333335,2.375,3.6
u22,pre,3.625,3.4444444444444446,4.555555555555555,2.875,3.8
u23,pre,3.0,3.6666666666666665,3.0,3.75,3.6
u24,pre,3.5,2.6666666666666665,2.3333333333333335,3.125,3.5
u27,pre,2.5,3.888888888888889,2.6666666666666665,3.125,3.3
u30,pre,4.5,4.111111111111111,4.444444444444445,2.0,3.6
u31,pre,4.25,3.888888888888889,2.888888888888889,3.125,3.7
u32,pre,4.25,4.222222222222222,4.333333333333333,1.75,3.7
u33,pre,2.875,3.3333333333333335,1.8888888888888888,3.625,4.6
u34,pre,3.25,4.333333333333333,3.111111111111111,2.875,3.3
u35,pre,2.625,3.888888888888889,3.5555555555555554,2.625,3.4
u36,pre,3.5,4.111111111111111,3.7777777777777777,1.75,3.5
