,uid, gpa all, gpa 13s, cs 65
0,u01,2.863,1.7777777780000001,3.0
1,u02,3.505,4.0,4.0
2,u04,3.029,3.5,4.0
3,u05,3.679,3.777777778,4.0
4,u07,3.4739999999999998,4.0,4.0
5,u08,3.705,3.333333333,4.0
6,u09,3.806,3.777777778,3.666666667
7,u10,3.667,3.777777778,4.0
8,u12,3.245,2.583333333,2.333333333
9,u14,3.293,3.888888889,3.666666667
10,u15,2.815,3.333333333,3.666666667
11,u16,3.373,4.0,4.0
12,u17,3.4760000000000004,3.333333333,4.0
13,u18,3.4739999999999998,3.333333333,3.333333333
14,u19,3.947,3.777777778,3.333333333
15,u22,3.889,3.916666667,4.0
16,u24,2.987,3.222222222,3.333333333
17,u25,2.765,3.333333333,3.666666667
18,u27,3.719,3.333333333,3.0
19,u30,3.93,3.916666667,4.0
20,u32,3.826,3.888888889,4.0
21,u33,2.815,2.777777778,4.0
22,u41,3.6519999999999997,3.777777778,4.0
23,u43,3.79,4.0,4.0
24,u46,3.6460000000000004,1.111111111,4.0
25,u49,3.625,3.777777778,4.0
26,u52,2.4,1.0,0.0
27,u54,3.343,3.4444444439999997,4.0
28,u57,3.389,2.666666667,4.0
29,u59,3.5189999999999997,3.5555555560000003,3.666666667
