,uid,type,1. I feel in tune with the people around me,2. I lack companionship,3. There is no one I can turn to,4. I do not feel alone,5. I feel part of a group of friends,6. I have a lot in common with the people around me,7. I am no longer close to anyone,8. My interests and ideas are not shared by those around me,9. I am an outgoing person,10. There are people I feel close to,11. I feel left out,12. My social relationships are superficial,13. No one really knows me well,14. I feel isolated from others,15. I can find companionship when I want it,16. There are people who really understand me,17. I am unhappy being so withdrawn,18. People are around me but not with me,19. There are people I can talk to,20. There are people I can turn to,Total Score
0,u00,pre,1,1,0,3,0,1,0,0,0,0,1,1,0,0,0,2,3,2,0,0,15
1,u01,pre,1,1,1,1,0,0,0,0,1,0,1,1,0,1,0,0,2,0,0,0,10
2,u02,pre,1,1,1,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,0,9
3,u03,pre,1,1,0,0,2,2,2,2,2,2,1,1,2,2,1,0,2,2,1,1,27
4,u04,pre,1,2,2,1,2,1,0,1,2,1,2,2,2,2,2,2,2,2,2,2,33
5,u05,pre,1,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,0,0,0,8
6,u07,pre,2,0,0,0,1,2,0,2,2,0,2,1,1,3,1,0,0,2,0,0,19
7,u08,pre,1,2,1,1,0,0,2,0,1,0,0,0,0,0,1,1,0,1,1,1,13
8,u09,pre,1,2,1,0,0,0,2,1,2,1,1,1,2,1,0,0,2,0,0,0,17
9,u10,pre,2,3,3,2,3,2,3,3,3,2,2,3,3,3,0,3,0,1,2,2,45
10,u12,pre,0,1,1,1,0,3,1,3,1,0,1,1,2,2,0,1,1,2,1,1,23
11,u13,pre,1,2,2,0,0,1,2,1,2,1,1,3,3,2,0,0,0,3,0,0,24
12,u14,pre,1,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,6
13,u15,pre,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,5
14,u16,pre,1,0,0,0,0,0,1,1,2,0,2,0,1,2,0,0,2,0,0,0,12
15,u17,pre,2,2,0,2,3,3,0,3,1,0,3,2,3,3,0,0,2,3,0,0,32
16,u18,pre,1,2,3,1,1,2,2,2,2,1,3,2,2,2,1,2,2,2,1,2,36
17,u19,pre,2,2,3,2,1,1,2,0,3,1,2,2,3,3,1,2,2,2,1,1,36
18,u20,pre,0,1,1,0,0,0,1,1,0,0,1,1,1,1,0,0,1,1,0,0,10
19,u22,pre,1,2,2,1,2,2,2,3,1,1,2,2,2,2,1,2,1,2,1,2,34
20,u23,pre,0,2,1,1,1,1,1,2,1,1,2,2,2,1,2,0,2,2,1,1,26
21,u24,pre,1,1,2,1,1,2,3,3,1,1,3,2,2,1,0,1,1,3,1,1,31
22,u27,pre,1,2,2,0,0,1,2,1,2,0,2,2,2,2,1,2,1,1,1,1,26
23,u30,pre,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,3
24,u31,pre,2,1,2,0,1,1,0,1,0,0,1,2,0,0,1,2,2,1,2,2,21
25,u32,pre,0,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,5
26,u33,pre,1,3,2,3,2,2,3,2,1,2,3,2,3,3,3,1,3,3,1,2,45
27,u34,pre,0,1,0,0,0,1,2,1,0,0,2,2,2,2,0,0,0,2,0,0,15
28,u35,pre,0,1,0,1,0,0,1,1,2,0,1,0,1,1,1,2,1,1,1,1,16
29,u36,pre,0,0,0,0,0,0,0,0,1,1,0,2,2,1,0,1,1,1,0,1,11
30,u39,pre,1,1,1,0,0,0,1,1,1,0,0,2,1,1,0,0,1,1,0,0,12
31,u42,pre,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,1,0,0,0,0,5
32,u43,pre,1,2,0,2,0,0,0,1,2,0,2,1,2,1,2,1,2,2,0,0,21
33,u44,pre,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4
34,u45,pre,0,0,2,1,1,1,1,2,0,1,1,2,3,1,1,2,1,2,2,2,26
35,u46,pre,0,1,0,0,0,0,0,2,1,0,1,2,1,0,0,0,0,1,0,0,9
36,u47,pre,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
37,u49,pre,0,1,0,1,0,0,0,0,1,0,1,1,1,1,0,1,1,2,0,0,11
38,u50,pre,1,1,0,1,1,1,1,2,0,0,1,2,1,0,1,1,2,2,1,1,20
39,u51,pre,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20
40,u52,pre,1,3,3,3,1,0,2,2,3,1,2,3,3,2,3,2,3,3,1,2,43
41,u53,pre,1,0,0,0,0,1,0,1,1,0,2,2,0,1,0,1,0,1,0,0,11
42,u56,pre,1,1,1,1,2,1,1,1,3,1,1,1,1,1,0,1,0,0,0,0,18
43,u57,pre,1,1,2,0,0,1,2,1,2,0,1,1,1,1,1,1,1,2,1,1,21
44,u58,pre,1,2,0,0,2,1,0,2,3,1,2,0,3,2,2,3,2,0,1,1,28
45,u59,pre,1,1,0,0,1,1,1,1,0,0,1,0,1,2,1,1,1,1,0,0,14
46,u00,post,1,1,1,0,1,1,0,1,1,1,1,2,0,0,1,1,2,2,0,0,17
47,u01,post,1,1,1,0,0,1,0,1,0,0,2,1,1,1,0,1,2,2,0,0,15
48,u02,post,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,5
49,u03,post,2,0,0,1,3,2,3,2,3,2,1,1,2,1,1,0,1,1,1,2,29
50,u04,post,1,2,2,1,2,1,2,2,2,0,3,1,2,1,2,1,1,2,1,1,30
51,u07,post,2,2,0,0,1,2,0,2,1,0,2,2,0,2,0,0,2,2,0,0,20
52,u09,post,0,2,1,2,0,0,0,1,2,0,1,1,0,1,0,2,1,2,0,0,16
53,u10,post,2,1,1,2,2,3,3,3,3,3,0,3,3,3,1,3,0,3,2,2,43
54,u14,post,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,5
55,u15,post,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,3
56,u16,post,1,2,1,0,0,0,1,1,2,1,2,1,1,1,0,0,2,2,0,0,18
57,u17,post,1,3,1,0,3,2,0,3,1,0,3,2,3,3,2,0,2,3,0,0,32
58,u18,post,2,2,2,2,1,2,3,2,2,2,2,3,3,2,2,3,2,2,3,3,45
59,u19,post,2,3,2,2,1,2,1,1,2,1,2,2,2,2,2,2,2,1,1,1,34
60,u20,post,0,1,1,0,0,0,1,3,0,1,1,1,1,1,1,1,2,2,0,1,18
61,u23,post,1,2,2,2,2,2,1,2,1,1,2,1,2,2,1,1,2,2,1,1,31
62,u24,post,1,2,2,1,2,2,1,2,1,2,2,3,3,2,0,2,2,3,1,1,35
63,u27,post,1,2,2,1,1,2,2,1,2,1,1,2,2,1,1,2,1,2,1,1,29
64,u30,post,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
65,u31,post,1,0,1,0,0,1,0,1,1,1,2,2,0,0,3,2,0,1,2,2,20
66,u32,post,0,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,8
67,u33,post,0,3,3,1,1,2,3,3,0,2,2,2,3,3,2,2,3,3,1,1,40
68,u34,post,0,1,1,0,0,0,0,1,1,0,2,1,2,1,1,1,1,1,0,0,14
69,u35,post,0,1,1,1,2,1,2,1,1,2,1,2,0,0,1,1,0,1,0,1,19
70,u36,post,0,0,0,1,0,0,0,0,1,1,1,2,1,1,1,1,1,1,0,0,12
71,u42,post,0,2,0,0,0,0,0,1,1,0,1,2,1,0,1,1,1,1,0,0,12
72,u43,post,1,2,0,0,1,1,2,1,2,0,1,2,2,1,0,0,2,2,0,0,20
73,u44,post,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,23
74,u45,post,0,1,2,2,1,1,1,1,0,2,2,1,1,1,1,2,1,2,1,1,24
75,u47,post,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
76,u49,post,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,6
77,u51,post,1,1,1,0,0,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,15
78,u52,post,0,2,0,0,2,0,0,0,1,0,2,0,0,0,0,1,0,0,0,1,9
79,u53,post,0,1,0,0,0,1,0,1,1,0,2,1,1,1,0,1,1,1,0,0,12
80,u56,post,1,1,0,1,1,2,1,1,3,1,1,0,1,1,0,0,1,1,0,0,17
81,u58,post,0,0,0,3,1,3,1,2,3,1,0,1,3,1,1,0,0,1,1,1,23
82,u59,post,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,9
