,uid,type,vr_12_phys,vr_12_ment
0,u00,pre,20.0,15
1,u01,pre,21.0,17
2,u02,pre,17.0,22
3,u03,pre,20.0,19
4,u04,pre,20.0,21
5,u05,pre,21.0,25
6,u07,pre,19.0,19
7,u08,pre,19.0,17
8,u09,pre,21.0,24
9,u10,pre,19.0,17
10,u12,pre,21.0,24
11,u13,pre,18.0,14
12,u14,pre,18.0,27
13,u15,pre,20.0,17
14,u16,pre,19.0,15
15,u17,pre,16.0,18
16,u18,pre,13.0,10
17,u19,pre,17.0,16
18,u20,pre,11.0,24
19,u22,pre,21.0,19
20,u23,pre,7.0,10
21,u24,pre,16.0,19
22,u27,pre,19.0,21
23,u30,pre,21.0,26
24,u31,pre,10.0,11
25,u32,pre,17.0,23
26,u33,pre,17.0,11
27,u34,pre,20.0,23
28,u35,pre,15.0,18
29,u36,pre,16.0,21
30,u39,pre,16.0,18
31,u42,pre,16.0,18
32,u43,pre,4.0,16
33,u44,pre,19.0,20
34,u45,pre,15.0,20
35,u46,pre,19.0,16
36,u47,pre,21.0,24
37,u49,pre,15.0,19
38,u50,pre,10.0,20
39,u51,pre,19.0,21
40,u52,pre,19.0,18
41,u53,pre,18.0,12
42,u56,pre,16.0,21
43,u57,pre,21.0,23
44,u58,pre,21.0,17
45,u59,pre,17.0,18
46,u00,post,19.0,22
47,u01,post,21.0,14
48,u02,post,17.0,17
49,u03,post,19.0,18
50,u04,post,20.0,19
51,u05,post,20.0,25
52,u07,post,17.0,16
53,u09,post,21.0,22
54,u10,post,20.0,25
55,u14,post,21.0,22
56,u15,post,18.0,23
57,u16,post,17.0,12
58,u17,post,5.0,8
59,u18,post,13.0,14
60,u19,post,15.0,16
61,u20,post,11.0,20
62,u23,post,7.0,14
63,u24,post,19.0,15
64,u27,post,13.0,13
65,u30,post,21.0,24
66,u31,post,15.0,20
67,u32,post,14.0,22
68,u33,post,17.0,6
69,u34,post,20.0,23
70,u35,post,16.0,20
71,u36,post,19.0,21
72,u42,post,15.0,23
73,u43,post,8.0,20
74,u44,post,19.0,18
75,u45,post,15.0,24
76,u47,post,21.0,21
77,u49,post,20.0,23
78,u51,post,18.0,23
79,u52,post,16.0,14
80,u53,post,11.0,14
81,u56,post,20.0,21
82,u59,post,16.0,21
